Year,Delta C14 (parts per thousand),Notes
-7386,85.1,
-7396,103.7,
-7406,95.9,
-7416,110.7,
-7426,97.2,
-7436,106.1,
-7446,118.6,
-7456,90.5,
-7456,99,
-7466,108.3,
-7476,109.1,
-7486,101.6,
-7503.5,101.2,
-7513.5,104.5,
-7523.5,98,
-7533.5,98.6,
-7543.5,94.3,
-7553.5,95.5,
-7563.5,100.3,
-7575.5,98.2,
-7585.5,94.2,
-7586,85.6,
-7596,88.2,
-7606,80.8,
-7616,73.4,
-7626,88.4,
-7636,81.9,
-7646,88.7,
-7656,83.3,
-7676,97.2,
-7686,77.8,
-7686,83.3,
-7696,85.8,
-7706,89.6,
-7716,86.3,
-7726,89.2,
-7736,82.7,
-7746,97.2,
-8016.5,101.7,
-8016.5,98.9,
-8031.5,106.8,
-8031.5,104.5,
-8051.5,109.2,
-8066.5,115.8,
-8076.5,114.4,
-8076.5,111.6,
-8086.5,116,
-8096.5,115.3,
-8096.5,110.7,
-8106.5,115.3,
-8116.5,124.1,
-8126.5,122.1,
-8136.5,117.6,
-8146.5,120.4,
-8156.5,129.7,
-8166.5,132,
-8176.5,127.8,
-8186.5,125.1,
-8196.5,133.5,
-8206.5,131.5,
-8216.5,128.9,
-8226.5,123.7,
-8236.5,121.6,
-8246.5,123.4,
-8256.5,119,
-8266.5,130.6,
-8266.5,121.7,
-8276.5,123.4,
-8276.5,112.9,
-8286.5,111.8,
-8286.5,112.5,
-8296.5,107.5,
-8306.5,106.3,
-8316.5,105.9,
-8316.5,105.5,
-8326.5,103.6,
-8326.5,105.1,
-8336.5,106.2,
-8346.5,103.3,
-8356.5,103.1,
-8356.5,95.8,
-8366.5,110.9,
-8376.5,105.2,
-8386.5,116.2,
-8396.5,109.1,
-8406.5,117.8,
-8416.5,121.4,
-8426.5,117.1,
-8436.5,118.4,
-8446.5,117.7,
-8456.5,119.7,
-8466.5,116.9,
-8476.5,117.3,
-8486.5,118.1,
-8496.5,112.6,
-8496.5,108.1,
-8506.5,123,
-8516.5,124.2,
-8526.5,124.9,
-8536.5,123.6,
-8546.5,123,
-8546.5,119.8,
-8556.5,123.1,
-8566.5,121.2,
-8576.5,117.6,
-8586.5,123.1,
-8596.5,121.5,
-8606.5,124.7,
-8616.5,127.5,
-8626.5,122.5,
-8636.5,123.8,
-8646.5,124.8,
-8656.5,122.8,
-8656.5,117.7,
-8666.5,118.2,
-8676.5,128.9,
-8683.5,125.3,
-8686.5,131.7,
-8693.5,123,
-8696.5,126.5,
-8696.5,131.7,
-8703.5,131.5,
-8706.5,119.3,
-8713.5,124.9,
-8716.5,125.6,
-8723.5,121.9,
-8726.5,130.3,
-8733.5,123.9,
-8736.5,128.1,
-8743.5,124.5,
-8746.5,123.8,
-8746.5,132.5,
-8753.5,124.6,
-8756.5,124.7,
-8886.5,128.5,
-8896.5,127.2,
-8896.5,134.5,
-8906.5,138.9,
-8906.5,133.5,
-8916.5,127.6,
-8926.5,123.2,
-8936.5,127.8,
-8946.5,125.6,
-8956.5,129.1,
-8966.5,126,
-8976.5,135.2,
-8986.5,134,
-8996.5,134.3,
-9006.5,144.9,
-9016.5,144,
-9016.5,147.7,
-9026.5,150.2,
-9026.5,150.5,
-9076.5,153.6,
-9086.5,152.3,
-9086.5,169.9,
-9096.5,164.5,
-9106.5,160,
-9110.5,164.9,
-9116.5,163,
-9120.5,155,
-9126.5,159.2,
-9130.5,159.6,
-9136.5,155.7,
-9140.5,153.6,
-9146.5,158.1,
-9156.5,152.6,
-9166.5,154.5,
-9166.5,162.3,
-9181.5,154.9,
-9191.5,159.6,
-9201.5,159.3,
-9211.5,159.8,
-9221.5,156.2,
-9231.5,148.5,
-9241.5,152.5,
-9277.5,148.2,
-9287.5,144.5,
-9297.5,142.9,
-9301.5,136.7,
-9307.5,136.9,
-9311.5,140.2,
-9311.5,148.1,
-9317.5,138.4,
-9317.5,139.4,
-9321.5,129.2,
-9331.5,138.7,
-9421.5,138.5,
-9421.5,138.8,
-9431.5,149.3,
-9441.5,148.3,
-9447.5,139.4,
-9451.5,144.7,
-9457.5,138.7,
-9467.5,139.1,
-9477.5,138.2,
-9487.5,146.9,
-9497.5,152,
-9507.5,151.7,
-9517.5,152.8,
-9527.5,149.2,
-9537.5,153.3,
-9547.5,147.3,
-9557.5,148.8,
-9567.5,149.6,
-9577.5,163.3,
-9587.5,159,
-9597.5,154.7,
-9607.5,165.7,
-9617.5,168.2,
-9627.5,171,
-9637.5,172.5,
-9647.5,172,
-9657.5,164.7,
-9667.5,164.5,
-9677.5,157.2,
-9687.5,160.8,
-9697.5,165.1,
-9697.5,164.6,
-9707.5,162,
-9717.5,164.9,
